id,Title,Year,upc
218771,A Very Harold & Kumar Christmas,2011,79404320203
10304,A Very Long Engagement,2004,85393897222
574228,A Walk Among the Tombstones,2014,25192241284
99803,A Walk in the Spring Rain,1970,4339637797
9723,A Walk to Remember,2002,883929112753
185879,"A Woman, a Gun and a Noodle Shop",2009,4339636934
347671,A Woman's Face,1941,26574700000000
141543,A Wonderful Christmas,2006,1223620425
182992,"A-Team (Extended Cut) , The",2010,24543701538
497960,A.C.O.D.,2013,97363007340
24946,A.I.,2001,32429227430
70826,Aaron Loves Angela,1975,24818000000000
31626,Abandon,2002,9736056654
187132,Abandoned,2010,1313219439
128033,"Abandoned , The",2007,3139821410
5034,Abbott and Costello Meet Frankenstein,1948,2519214005
70834,Abbott and Costello Meet the Invisible Man,1951,24787700000000
5104,Abbott and Costello Meet the Mummy,1955,2519205732
197970,Abduction,2011,3139814755
70846,Abe Lincoln in Illinois,1940,88331612560
410086,Abel's Field,2012,4339641378
64309,Abominable,2006,1313148469
5210,About a Boy,2002,2519211209
13327,About Last Night...,1986,1438169085
33037,About Schmidt,2002,88392937491
486410,About Time,2013,2519216711
111178,Above and Beyond,1952,88331616460
70859,Above Suspicion,1943,88331624193
10719,Above the Law,1988,883929051083
351236,Abraham Lincoln: Vampire Hunter,2012,2454320131
7121,Abre los Ojos,1999,1223612159
328271,Abs of Steel: Sculpting and Toning,,24939100000000
12874,Absence of Malice,1981,1438175315
15247,Absence of the Good,1999,4339604734
9002,Absolute Power,1997,883929136667
659683,"ABSOLUTION (BD+DC,STD,WS)",2015,3139821750
5926,Accepted,2006,2519288532
9930,"Accidental Tourist, The",1988,8539288782
205905,According to Greta,2008,1313832328
6652,According to Spencer,2001,3139815772
25309,"Accused, The",1988,9736138344
43618,Ace High,1967,883929311934
112799,Ace in the Hole,1951,715515024723
179265,Ace of Hearts,2007,2454351555
70888,Across the Pacific,1942,1256967987
111233,Across the Sierras,1941,4339637802
130245,Across the Universe,2007,4339619466
70891,Across the Wide Missouri,1951,88331635310
66413,Action in the North Atlantic,1943,1256967988
9209,Action Jackson,1988,883929288649
896117,"ACTS OF VENGEANCE (BD+DC,STD,WS)",2017,Scraping failed
173089,Adam,2009,24543634935
37528,Adam Had Four Sons,1941,43396011465
36325,Adam Sandler's Eight Crazy Nights,2002,4339604842
9392,Adam's Rib,1949,1256950552
32835,Adaptation,2003,1438175655
15430,Addams Family Values,1993,883929303687
15429,"Addams Family, The",1991,9736326892
578821,Addicted,2014,3139820914
9098,Addicted to Love,1997,8539152522
178859,"ADJUSTMENT BUREAU THE (BD+DVD+DC,STD,WS,EXCL)",2011,2519210555
418542,Admission,2013,2519216528
162406,Adoration,2009,4339632406
465223,Adore,2013,3242914464
195244,Adrift,2009,2519209235
111280,Adventure,1945,88331635312
162283,Adventureland,2009,786936807264
50753,"Adventurers, The",1970,9736069124
463642,Adventures in Zambezia,2013,4339641600
121007,Adventures of a Young Man,1962,24971100000000
12901,Adventures of Baron Munchausen,1989,4339616219
59746,"Adventures of Brer Rabbit, The",2006,2519257602
15126,Adventures of Elmo in Grouchland,1999,4339604168
70996,"Adventures of Huckleberry Finn, The",1939,883316125649
14537,"Adventures of Milo and Otis , The",1989,4339638535
781883,"ADVENTURES OF PANDA WARRIOR, THE (DVD+DC,STD,WS)",2016,3139828431
9706,"Adventures of Pluto Nash, The",2001,8539190412
10900,"Adventures of Robin Hood , The",1938,1256979839
5072,"ADVENTURES OF ROCKY & BULLWINKLE (DVD,STD,WS,EXCL)",2000,2519233854
53589,Adventures of Shark Boy and Lavagirl,2005,3139814571
62047,Adventures of the Wilderness Family,1975,8429640463
360790,Adventures Of The Wilderness Family Part 2,1978,26516900000000
360796,Adventures Of The Wilderness Family Part 3,1996,26517000000000
197936,Adventures of Tintin,2011,9736146154
